%
% N       RA           Dec      V
%        h m s      deg am as  mag
% 
 0185  00 43 35.4  -17 59 12  2.04 
 0186  00 44 26.4  +47 51 51  5.67 
 0187  00 43 50.2  -12 00 42  6.02 
 0188  00 43 21.2  -57 27 47  4.36 
 0189  00 45 39.0  +74 59 17  5.66 
 0190  00 44 43.5  +48 17 04  4.54 
 0191  00 44 11.4  -10 36 34  4.76 
 0192  00 44 12.1  -38 25 18  5.90 
 0193  00 45 17.2  +55 13 18  5.42 
 0194  00 44 44.4  -22 00 22  5.24 
 0195  00 44 57.1  -42 40 36  5.94 
 0196  00 44 32.3  -62 29 52  6.07 
 0197  00 46 39.0  +69 19 30  6.33 
 0198  00 45 24.1  -04 37 45  6.15 
 0199  00 45  0.0  -53 42 54  6.15 
 0200  00 45 28.7  -12 52 51  6.15 
 0201  00 46 15.1  +55 18 19  6.52 
 0202  00 46 10.9  +44 51 41  6.05 
 0203  00 45 41.7  -16 25 27  6.47 
 0204  00 46 42.4  +59 34 28  6.39 
 0205  00 47 46.1  +74 50 51  5.41 
 0206  00 45 45.6  -47 33 06  5.80 
 0207  00 46 11.8  -22 31 19  5.50 
 0208  00 46 33.0  +15 28 32  5.38 
 0209  00 48  9.1  +72 40 30  5.87 
 0210  00 47  1.5  +11 58 26  5.50 
 0211  00 47 13.6  +19 34 44  6.13 
 0212  00 47 20.3  +24 16 02  4.06 
 0213  00 47 23.6  +06 44 27  5.99 
 0214  00 47 54.8  +20 55 31  6.54 
 0215  00 47 43.3  -18 03 41  5.70 
 0216  00 49  6.0  +57 48 57  3.44 
 0217  00 48  1.1  -21 43 21  5.57 
 0218  00 48 17.4  +07 18 00  5.93 
 0219  00 48 23.0  +05 16 50  5.75 
 0220  00 48 50.1  +50 58 06  4.89 
 0221  00 48 41.0  +07 35 06  4.43 
 0222  00 48 58.7  +16 56 26  5.07 
 0223  00 49 48.8  +41 04 44  4.53 
 0224  00 49 25.6  -13 33 41  5.59 
 0225  00 49 13.9  -24 08 11  5.90 
 0226  00 48 56.7  -46 41 52  6.27 
 0227  00 49 52.8  +27 42 39  7.00 
 0228  00 49 53.2  +27 42 37  7.10 
 0229  00 49 33.4  -23 21 42  6.28 
 0230  00 50 43.6  +64 14 51  5.39 
 0231  00 50 18.3  +45 00 08  6.15 
 0232  00 50  7.6  -10 38 40  5.19 
 0233  00 48 35.4  -74 55 24  5.07 
 0234  00 51 16.4  +61 48 21  6.07 
 0235  00 50 57.4  +51 30 29  6.39 
 0236  00 50  3.7  -43 23 41  6.48 
 0237  00 54 53.1  +83 42 26  5.62 
 0238  00 51 33.7  +51 34 16  6.21 
 0239  00 50 41.2  -50 59 13  5.22 
 0240  00 51 18.3  +03 23 06  6.37 
 0241  00 53  4.1  +61 07 27  4.82 
 0242  00 51 52.1  -43 42 33  6.90 
 0243  00 52 53.4  +38 32 55  6.69 
 0244  00 52 40.6  -24 00 21  5.46 
 0245  00 53  0.5  -01 08 39  4.77 
 0246  00 53 28.2  +37 25 05  6.06 
 0247  00 53 47.6  +52 41 21  6.27 
 0248  00 53 12.4  -24 46 37  6.46 
 0249  00 52 24.3  -69 30 16  6.22 
 0250  00 55  0.1  +58 58 22  4.83 
 0251  00 54 35.2  +19 11 18  5.74 
