%
% ID - oznaczenie gwiazdy
% RA - rektascencja
% Dec - deklinacja
% VMax - maksimum blasku
% VMin - minimum blasku
% P - okres zmian blasku
% Type - typ zmienno"sci: RR0, RR1, RR2, RR01
% Blazhko - Bl je"sli gwiazda wykazuje efekt Bla"zki
%
%ID     RA         Dec       VMax  VMin      P    Type Blazhko
%     h:m:s       d:m:s      mag   mag       d
%
 105 13:42:09.86 28:25:53.6 15.33 15.72 0.287740  RR2
 106 13:42:07.81 28:25:30.3 15.18 16.04 0.5471593 RR0
 107 13:42:05.65 28:28:17.0 15.40 16.14 0.309034  RR1
 108 13:41:54.79 28:27:52.3 14.94 16.30 0.5196047 RR0
 109 13:42:04.74 28:22:44.7 14.56 15.64 0.5339239 RR0
 110 13:42:03.94 28:22:26.5 15.02 15.88 0.5353569 RR0
 111 13:42:04.46 28:23:04.1 15.06 16.02 0.5102469 RR0  Bl 
 113 13:42:26.85 28:11:12.9 14.90 16.25 0.5130066 RR0
 114 13:42:12.22 28:33:03.8 15.18 16.24 0.5977270 RR0
 115 13:42:45.11 28:33:47.7 14.98 16.34 0.5133529 RR0
 116 13:41:34.06 28:30:25.2 14.89 16.32 0.5148088 RR0
 117 13:42:18.40 28:14:54.2 15.22 16.22 0.6005164 RR0
 118 13:42:22.51 28:17:50.8 14.90 16.36 0.4993807 RR0
 119 13:42:30.67 28:24:29.2 14.76 16.25 0.5177411 RR0
 120 13:41:49.00 28:26:32.5 15.56 16.07 0.6401387 RR0
 121 13:42:08.17 28:23:38.1 14.84 15.54 0.5351882 RR0
 122 13:42:09.05 28:21:55.5 14.6  16.1  0.5017    RR0
 123 13:41:52.26 28:06:04.2 14.92 16.31 0.5454472 RR0
 124 13:42:06.53 28:19:21.1 15.50 15.96 0.7524328 RR0
 125 13:42:25.65 28:20:30.3 15.48 16.00 0.349820  RR1
 126 13:42:10.36 28:20:16.1 15.42 15.96 0.348405  RR1
 128 13:42:20.13 28:24:53.9 15.40 15.86 0.292042  RR1
 129 13:42:08.21 28:23:59.8 15.2  16.1  0.305474  RR0
 130 13:42:11.78 28:24:06.5 15.27 16.00 0.5688172 RR0  Bl 
 131 13:42:05.91 28:23:09.5 15.04 15.56 0.297692  RR1
 132 13:42:07.44 28:22:20.4 15.3  16.4  0.339825  RR1
 133 13:42:07.02 28:23:26.4 14.89 15.96 0.5507230 RR0
 134 13:42:09.79 28:23:35.1 14.9  16.3  0.6190    RR0
 135 13:42:09.45 28:23:20.9 15.0  16.5  0.56843   RR0
 137 13:42:15.48 28:22:23.5 15.30 16.04 0.5751464 RR0
 139 13:42:14.12 28:23:10.8 15.25 16.12 0.560004  RR0
 140 13:42:10.30 28:24:31.4 15.07 15.51 0.333130  RR1
 142 13:42:09.27 28:21:44.1 14.79 15.72 0.5686256 RR0
 143 13:42:08.91 28:22:59.4 15.4  16.4  0.51111   RR0
 144 13:42:15.61 28:21:03.1 15.27 15.99 0.5967843 RR0
 145 13:42:13.62 28:22:51.4 14.9  16.5  0.514456  RR0
 146 13:42:18.50 28:21:44.3 14.6  16.5  0.502193  RR0
 147 13:42:09.84 28:23:29.8 15.1  16.3  0.346785  RR1
 148 13:42:10.96 28:23:20.4 15.3  16.4  0.46720   RR0
 149 13:42:14.10 28:23:35.6 14.7  16.5  0.54985   RR0
 150 13:42:16.69 28:23:20.8 14.8  16.7  0.52397   RR0
 151 13:42:11.99 28:22:01.3 14.9  16.3  0.51705   RR0
 152 13:42:17.47 28:23:34.0 15.42 15.76 0.326115  RR2
 156 13:42:09.99 28:22:01.8 15.0  15.9  0.531979  RR0
 157 13:42:10.19 28:23:18.3 14.2  15.7  0.5283    RR0
 159 13:42:10.36 28:22:59.1 14.9  16.6  0.5337    RR0
 160 13:42:10.81 28:21:59.3 14.9  16.1  0.64792   RR0
 161 13:42:12.81 28:21:45.2 15.4  16.4  0.49878   RR0
 165 13:42:17.05 28:23:03.2 14.7  16.5  0.4833    RR0
 166 13:42:04.17 28:22:34.9 15.4  16.1  0.3595    RR01    
 167 13:42:05.59 28:22:06.0 15.62 16.00 0.6439839 RR0
 168 13:42:08.08 28:22:49.8 14.9  16.0  0.273455  RR1
 171 13:42:09.51 28:22:59.6 15.0  16.1  0.43032   RR1
 172 13:42:09.91 28:23:08.9 14.9  16.5  0.59400   RR0
 173 13:42:10.51 28:23:21.9 15.2  16.6  0.606990  RR0
 175 13:42:14.64 28:23:09.4 14.9  16.2  0.60780   RR0
 176 13:42:14.98 28:23:16.2 14.8  16.4  0.55599   RR0
 178 13:42:17.48 28:23:29.9 15.51 15.81 0.26498   RR2
 184 13:42:09.58 28:22:27.9 14.9  16.4  0.517     RR0
 186 13:42:12.50 28:21:39.9 15.1  16.1  0.675     RR0
 188 13:42:09.50 28:23:06.9 15.0  16.0  0.2706    RR1
 189 13:42:09.59 28:22:22.0 15.2  16.0  0.668     RR0
 190 13:42:10.88 28:23:11.4 14.8  16.5  0.501     RR0
