%
%   l       b      V       Sp
%  deg     deg    mag
%
  132.86 -13.86   5.82    A3V               
  149.17 -56.25   5.91    G9III             
  256.59 -74.45   6.32    K0III             
  132.18  -9.87   5.90    F5IV              
  140.39 -38.60   5.86    K1III+A6V         
  165.48 -68.61   4.67    F3III             
  233.70 -76.77   6.34    K2-3III           
  131.57  -6.70   5.52    B1.5V             
  145.58 -49.20   5.94    F2V w             
  259.30 -73.37   6.37    F8V               
  132.64 -10.93   5.79    B9IIIpHgMn        
  277.77 -66.33   6.14    K1IV              
  132.58 -10.24   6.26    A3V               
  165.88 -68.05   3.73    K0IIIBa0.1        
  131.72  -6.21   6.45    A5m               
  280.70 -64.28   5.94    A1Vp              
  129.84   1.65   3.38    B3III             
  135.40 -20.64   5.40   gK1                
  138.64 -31.40   3.41    F6IV              
  142.55 -41.20   4.83    B9V               
  142.55 -41.20   4.75    A1pSi             
  180.42 -72.52   5.80    F0IIIn            
  128.77   6.55   4.99    B8III             
  151.64 -56.18   4.62    K0III             
  299.96 -36.63   6.06    F0IV              
  135.72 -20.59   6.24    K2                
  136.75 -24.03   6.26    K0                
  142.24 -39.68   2.64    A5V               
  258.35 -72.71   6.10    K1II              
  274.35 -67.22   4.41    M4III             
  136.91 -23.84   5.89   gM0                
  136.96 -23.85   5.67    K0III             
  267.17 -69.99   5.11    A3V               
  141.48 -36.96   5.74    K1III             
  153.67 -57.13   6.01    F7V+G0V           
  130.80  -0.14   6.02    B5III             
  136.03 -19.48   6.78    B8III             
  144.34 -42.30   5.10    K1p               
  140.40 -32.81   5.82    M2III             
  199.22 -74.52   4.85    K4III             
  280.88 -62.67   3.70    G8IIIbCNIV        
  130.16   2.71   5.26    A0Vn              
  134.06 -12.21   5.69    K0IV              
  142.04 -36.80   4.79    F0V               
  293.93 -48.35   4.69    G8.5III           
  289.48 -54.55   6.06    F0IV-V            
  126.76  15.58   6.04    K0                
  280.76 -62.45   6.10    F6-7V             
  274.84 -66.00   4.83    G8III             
  128.69   8.83   4.54    A3IV              
  239.29 -74.36   6.35    K0III             
  143.55 -39.07   5.87    K0III-IV          
  147.82 -47.26   6.09    A6V               
  127.95  11.68   6.23    A5III             
  128.38  10.31   3.98    A2V               
  127.06  15.00   5.38    F0Vn              
  154.33 -55.53   5.88    G2IV              
  194.60 -73.19   5.41    M1III             
  292.20 -50.30   6.37    G8II-III          
  195.47 -73.25   4.00    M0III             
  130.42   3.07   6.00    A1Vn              
  167.40 -65.25   5.51    M3III             
  264.25 -69.60   5.57    K1III             
  130.57   2.59   5.58    B8Ib              
  133.19  -6.97   5.04    B8III             
  289.45 -53.76   2.86    F0V               
  127.44  13.90   5.22    G8III             
  298.84 -38.26   6.16    F5-6IV-V          
  227.66 -74.42   5.35    G5III             
  155.35 -55.60   5.23    A3m               
  155.35 -55.60   4.33    A0pSiSr           
  125.99  18.89   6.05    A1V               
  130.54   3.32   6.52    A0V               
  139.71 -27.25   5.50    A2V               
  292.34 -49.64   6.10    K1III             
  148.19 -45.88   5.94    M2III             
  268.87 -67.48   5.14    K5III             
  136.96 -18.56   2.26    K3-IIb            
  136.97 -18.56   4.84    B8V+A0V           
  142.61 -34.16   5.63    F8IV              
  226.33 -74.19   6.42    A3III             
  158.18 -57.75   5.43    A5III             
  181.14 -69.60   5.86    G3IV              
  146.03 -41.35   6.21   gK4                
  158.88 -58.07   5.93    G5II-III+G5V      
  162.91 -61.23   5.62    K5I:              
  224.89 -73.78   4.69    B9.5pSi           
  144.78 -37.02   5.03    A2m               
  152.67 -50.26   6.31    M2III:            
  143.52 -34.14   6.15    B9IV-Vn           
  159.58 -57.40   6.28    K0                
  144.57 -36.20   2.00    K2-IIICa-1        
  132.92  -2.94   5.67    A1Ia              
  137.14 -16.27   6.42    G8III-IV          
  139.31 -22.55   4.82    A5IV-V            
  134.48  -7.25   6.31    G8III             
  140.55 -25.20   3.00    A5III             
  144.08 -33.71   4.98    F2III             
  148.23 -41.79   6.43    F5V               
  189.29 -69.87   6.10    M2III             
  128.58  12.06   6.29    G8III             
  133.51  -3.57   6.36    B5Ia              
  139.38 -21.28   5.63    B9V               
  139.38 -21.28   6.10    A1Vn              
  208.31 -72.20   6.48    F4III             
  147.40 -39.58   5.70    M3IIIab           
  264.22 -67.31   5.85    K1III             
  144.53 -33.57   6.02   gK4                
  142.27 -28.32   6.23    A1m               
  154.20 -49.39   5.63    G0IV              
  264.54 -66.99   6.32    G8III             
  275.99 -61.97   6.12    K1V               
  174.54 -64.57   6.01    F5V               
  163.52 -58.23   5.93   gG9                
  131.08   4.98   6.07    G0II-III+B9V      
  133.50  -2.61   6.44    A3Iab             
  142.98 -29.40   4.94    G5III+F5V         
  138.04 -16.23   4.83    K3.5IIIBa0.5:     
  145.69 -35.09   5.96    K0                
  135.85  -9.73   5.31    G8III:            
  147.14 -37.81   5.27    F5V               
  137.10 -13.10   6.06    F4V               
  150.40 -43.20   5.71    M0III             
  154.55 -48.95   4.37    G6II-IIICN-2      
  164.60 -58.52   5.54    F8V               
  199.11 -70.43   5.86    G9III             
  229.19 -71.84   5.28    B9V               
  137.30 -12.69   6.33    G9III-IV          
  134.38  -3.91   6.48    B1Iab             
  142.55 -26.27   5.28    A0V               
  145.74 -33.33   5.79    F6IV-V            
  146.07 -34.01   5.58    F6V               
  175.21 -63.45   6.55    A0V               
  257.70 -67.91   5.91    G8III             
  142.43 -25.39   4.87    G0.5V             
  134.25  -3.06   5.75    K3III             
  134.39  -3.42   5.98    G7III             
  138.78 -15.90   6.70    M7-8Se            
  142.65 -25.71   4.01    A1Vnn             
  147.05 -35.06   6.55    G9III             
  171.27 -60.99   5.51    G8.5III           
  291.57 -47.42   5.55    M1III             
  132.36   3.10   6.60    B9.5V             
  149.27 -38.50   5.62    A1Vn              
  137.99 -12.91   5.30    A1V               
  138.29 -13.77   6.21    A4V               
  162.20 -54.38   5.58    G0.5IVb           
  137.46 -11.42   6.37    F4V               
  275.35 -60.82   3.56    B8V-IV            
  145.22 -30.41   5.03    A2V               
  147.80 -35.44   6.46    A1V+F3III         
  140.79 -19.96   6.63    B8V               
  291.35 -47.45   5.69    K2III             
  138.24 -12.89   6.11    B5V               
  144.79 -28.89   6.47    K0                
  167.75 -57.98   3.04    M7IIIe+Bep        
  137.29 -10.21   5.59    B9pSi             
  214.47 -70.41   6.34    G5V               
  169.55 -58.98   6.50    A3V               
  135.51  -4.79   5.17    A2Ia              
  257.92 -66.77   6.37    K2III             
