%
%  no - oznaczenie gwiazdy
%  V - jasno"s"c w filtrze V
%  I - jasno"s"c w filtrze I
%  err_V - b"l"ad jasno"sci V
%  N_V - ilo"s"c obserwacji w filtrze V
%  N_I - ilo"s"c obserwacji w filtrze I
%  x - wsp"o"lrz"edna x na obrazie CCD (po"lno"c to -x) 
%  y - wsp"o"lrz"edna y na obrazie CCD (wsch"od to +y)
%
%  no    V       I    err_V   N_V N_I     x       y 
%       mag     mag    mag               
%
  161 15.7455 13.8336 0.0005 1862 684  517.73  595.34 
  162 15.8579 13.8288 0.0005 1825 689  533.03  781.22 
  163 15.9503 13.8397 0.0006 1838 681 1045.32  644.01 
  164 16.3099 13.8336 0.0005 1842 680  309.85  494.00 
  165 15.1300 13.8684 0.0006 1805 669 1111.10  903.10 
  166 15.6013 13.8522 0.0006 1882 688  609.57  461.70 
  167 14.9645 13.8972 0.0006 1785 659 1006.76  819.46 
  168 15.1322 13.8839 0.0006 1858 681  271.07   80.28 
  169 15.7544 13.8474 0.0032 1422 577  676.47  652.50 
  170 16.0334 13.9004 0.0005 1835 685  664.15  636.42 
  171 15.9625 13.9066 0.0005 1799 683  573.10  733.68 
  172 15.7845 13.9128 0.0004 1835 677  429.47  654.16 
  173 15.8427 13.9219 0.0006 1846 675  105.17  364.74 
  174 15.9879 13.9058 0.0005 1742 692  434.88  891.46 
  175 15.9050 13.9397 0.0007 1723 674  580.00  586.71 
  176 15.9294 13.9560 0.0006 1846 680 1067.76  981.62 
  177 15.1908 13.9871 0.0008 1866 685   89.07  782.38 
  178 15.0456 13.9908 0.0005 1807 684  558.12  713.34 
  179 15.8454 13.9681 0.0004 1854 682  355.46  343.22 
  180 15.9752 13.9734 0.0005 1822 677  576.93  849.50 
  181 16.0473 13.9743 0.0005 1802 675  313.06  428.40 
  182 15.9209 14.0086 0.0004 1844 684  452.75  717.35 
  183 15.4266 14.0236 0.0005 1826 680  495.43  532.49 
  184 15.4902 14.0565 0.0006 1843 683  782.91  144.23 
  185 16.0456 14.0488 0.0007 1844 682   85.78  570.27 
  186 16.2574 14.0429 0.0005 1826 688  661.79  723.29 
  187 15.1152 14.0493 0.0010 1779 673  795.80  876.96 
  188 15.3442 14.0688 0.0007 1703 650  174.98  780.18 
  189 15.8268 14.0444 0.0007 1853 691  574.80 1185.14 
  190 15.2822 14.0854 0.0014 1493 603  239.67  402.26 
  191 15.9907 14.0900 0.0005 1819 688  545.29  607.42 
  192 15.4266 14.0968 0.0004 1855 676  616.16  968.02 
  193 16.4890 14.0788 0.0009 1710 668  194.57  875.82 
  194 16.2179 14.0985 0.0005 1792 676  915.08  740.88 
  195 16.1968 14.1071 0.0006 1759 664  641.89  614.04 
  196 14.9471 14.1413 0.0004 1861 678  465.88  334.79 
  197 15.0917 14.1450 0.0004 1868 683  365.20  654.23 
  198 16.1963 14.1241 0.0005 1844 673  210.36  429.06 
  199 16.1283 14.1371 0.0007 1688 649  662.94  552.51 
  200 16.3105 14.1379 0.0010 1720 660 1053.19  777.86 
  201 16.1616 14.1399 0.0005 1837 676  836.69  526.38 
  202 16.1030 14.1317 0.0005 1838 671  566.05  769.77 
  203 15.2039 14.1593 0.0005 1863 679 1010.76  845.22 
  204 16.1761 14.1442 0.0005 1836 687  399.47  800.12 
  205 15.5409 14.1439 0.0010 1847 689  290.18 1175.19 
  206 15.2843 14.1863 0.0015 1735 662   23.47 1096.43 
  207 16.1332 14.1416 0.0005 1839 673  433.79  141.11 
  208 16.1898 14.1765 0.0006 1820 677 1085.24  868.37 
  209 15.3513 14.1879 0.0009 1712 641  129.47   97.67 
  210 15.5708 14.1937 0.0013 1876 690  243.23 1114.41 
  211 15.3466 14.2161 0.0007 1822 676  149.18   53.91 
  212 16.3164 14.1819 0.0006 1749 670  406.44  971.33 
  213 15.6399 14.2154 0.0005 1830 676  269.81  679.30 
  214 15.5488 14.2195 0.0006 1815 671  413.49 1008.29 
  215 15.5365 14.2270 0.0004 1850 692  484.07  802.30 
  216 15.4370 14.2671 0.0008 1865 687   73.41  693.19 
  217 16.2824 14.2160 0.0006 1807 675  627.61  853.60 
  218 16.2318 14.2248 0.0008 1743 676  587.66  586.77 
  219 16.0415 14.2491 0.0008 1793 663 1012.11  142.78 
  220 15.3080 14.2611 0.0006 1865 668  853.30   92.36 
  221 16.3148 14.2445 0.0006 1821 673  707.44  626.13 
  222 15.3295 14.2786 0.0004 1870 687  669.55  532.68 
  223 16.4235 14.2422 0.0007 1835 675  293.15   97.04 
  224 16.2516 14.2543 0.0005 1843 682  346.09  567.17 
  225 15.2028 14.2828 0.0005 1838 677  205.21  292.97 
  226 15.3732 14.2748 0.0010 1571 601  975.41 1248.61 
  227 15.5995 14.2694 0.0011 1178 407  501.76   15.31 
  228 15.5572 14.3205 0.0008 1727 653  409.34  464.44 
  229 15.4109 14.3253 0.0006 1869 680  184.64  215.43 
  230 15.3782 14.3233 0.0008 1837 688  934.87  438.82 
  231 16.2215 14.2964 0.0006 1820 672  166.83  208.16 
  232 15.6846 14.3242 0.0005 1860 680  281.42  736.59 
  233 15.4718 14.3426 0.0012 1885 687   62.64 1042.06 
  234 15.4960 14.3687 0.0009 1825 689   72.86  802.12 
  235 16.4328 14.3371 0.0006 1755 667  639.38  669.07 
  236 15.4887 14.3630 0.0005 1860 694  633.70  395.89 
  237 15.8765 14.3751 0.0005 1814 682  610.73  298.28 
  238 15.7116 14.3970 0.0005 1850 676  747.59  789.08 
