%
% HIP - numer gwiazdy
% RA - rektascencja
% Dec - deklinacja
% pi - paralaksa
% +/- - b"l"ad paralaksy
% pm_RA*cos(Del) - ruch w"lasny w rektascencji pomno"zony przez cos(Del)
% +/- - b"l"ad powy"zszego
% pm_Dec - ruch w"l"asny w deklinacji
% +/- - b"l"ad powy"zszego
% v_r - pr"edko"s"c radialna
% +/- - b"l"ad powy"zszego
%
% HIP      RA           Dec          pi      +/-  pm_RA*cos(Del) +/-    pm_Dec   +/-     v_r    +/-
%        [h m s]      [g am as]       [marcsec]      [marcsec/yr]       [marcsec/yr]       [km/s]
%
 20635  04 25 22.10  +22 17 38.3    21.27    0.80    105.49    0.81    -44.14    0.66   38.60  1.20 
 20641  04 25 24.94  +22 12 00.4    22.65    0.84    112.45    0.88    -47.06    0.73   32.00  2.50 
 20648  04 25 29.32  +17 55 40.8    22.05    0.77    108.26    0.97    -32.47    0.83   38.70  1.30 
 20693  04 25 57.28  +05 09 00.5    22.03    0.90     96.32    0.97      4.55    0.75   29.67  0.30 
 20711  04 26 18.39  +22 48 49.3    21.07    0.80    108.66    0.94    -45.83    0.82   35.60  0.60 
 20741  04 26 40.05  +16 44 49.1    21.42    1.54    110.29    1.53    -27.82    1.14   40.23  0.28 
 20745  04 26 42.75  +12 41 11.8    28.27    3.17    123.44    3.97    -16.78    2.55   41.38  0.18 
 20762  04 26 54.28  +13 08 17.6    21.83    2.29    104.54    2.23    -18.10    1.59   41.22  0.21 
 20810  04 27 32.30  +15 21 55.5     8.66    2.61     86.29    2.92    -25.06    2.19   60.94  0.06 
 20815  04 27 35.83  +15 35 21.3    21.83    1.01    103.54    1.10    -25.16    0.81   39.32  0.24 
 20826  04 27 46.01  +11 44 11.2    21.18    1.04    110.28    1.29    -12.11    0.92   40.22  0.21 
 20827  04 27 46.97  +14 25 04.1    17.29    2.23    101.43    1.91    -20.00    1.50   40.46  0.07 
 20842  04 28 00.72  +21 37 12.0    20.85    0.86     98.82    0.92    -40.59    0.80   37.50  3.30 
